sentence,target,idx
"I want to explain exactly why the more you eat, the less you want.",0,111
"I demand that the more John eats, the more he pays.",0,112
"I demand that John pay more, the more he eats.",0,114
"You get angrier, the more we eat, don't you.",0,116
"The harder it has rained, how much faster a flow appears in the river?",1,119
"The harder it rains, how much faster do you run?",1,121
"The harder it rains, how much faster a flow do you see in the river?",1,122
"When it rains harder, how much faster a flow appears in the river?",1,124
"As it rains harder, how much faster a flow appears in the river?",1,125
"How much harder has it rained, the faster a flow you see in the river?",1,128
"How much harder has it rained, when you see a faster flow in the river?",1,129
"When John eats more, keep your mouth shut tighter, OK?",1,132
"As John eats more, keep your mouth shut tighter, OK?",1,133
"Keep your mouth shut tighter, the more John eats, OK?",1,134
"Everyone keep your mouth shut tighter, the more John eats, OK?",1,135
Bill can well imagine getting fat.,0,137
"Fred can well imagine Joe getting fatter, the more he eats.",0,139
"It is important for you to be more careful, the more you eat.",0,149
"It is important to be more careful, the more you eat.",0,150
Mary listens to the Grateful Dead and she gets depressed.,0,156
"If Mary listens to the Grateful Dead, she gets depressed.",0,157
"When Mary listens to the Grateful Dead, she gets depressed.",0,158
Mary gets depressed if she listens to the Grateful Dead.,0,159
Mary gets depressed when she listens to the Grateful Dead.,0,160
"The more she looked at pictures, the angrier Mary got.",0,161
Mary gets depressed and she listens to the Grateful Dead.,0,163
"The higher the stakes are, the lower his expectations are.",0,164
"The higher the stakes, the lower his expectations.",0,165
"His expectations are lower, the higher the stakes.",0,166
"His expectations are lower, the higher the stakes are.",0,167
"The more obnoxious Fred is, the less attention you should pay to him.",0,170
"The more Fred is obnoxious, the less you should pay attention to him.",0,172
His expectations are always lower than mine.,0,174
John was lots more obnoxious than Fred was.,0,175
"You should always lock your door, no matter how fancy the hotel might be.",0,176
"You should always lock your door, no matter how fancy the hotel.",0,177
"I don't plan to lock the door, no matter how fancy this hotel is.",0,178
"I'm going out, whatever the weather.",0,180
"I'm going out, wherever that hurricane might be.",0,181
The more examples Mary says that Bill has helped Fred to discover the less I believe her.,0,183
The more carefully he words the letter the safer he'll be.,0,189
"The more geniuses John meets, the angrier he gets.",0,191
"The more people you say will buy tickets, the happier I'll be.",0,193
"The more people you say that right after the show opens will buy tickets, the happier I'll be.",0,195
"The more I talk to Joe, the less about linguistics I am inclined to think Sally has taught him to appreciate.",0,196
"The richer John gets, the more geniuses John meets.",0,203
"The more articles he reads, the fewer people he thinks will go into linguistics.",0,205
"The more articles he reads, the fewer people he thinks that under the current circumstances will go into linguistics.",0,207
"The more articles he reads, the fewer people he thinks under the current circumstances will go into linguistics.",0,208
"The more people that arrive, the louder that it gets.",0,209
"The more people that arrive, the louder it gets.",0,210
"The more people you give beer to, the more people that get sick.",0,211
"The more people that you give beer to, the more people that get sick.",0,212
"The more people arrive, the louder that it gets.",0,213
"The more people arrive, the louder it gets.",0,214
"The more people that you give beer to, the more people get sick.",0,215
The more pictures of himself that John buys the more arrogant he becomes.,0,217
The man that arrived on the train was my brother.,0,218
"Whenever Bill smokes, Susan hates him all the more.",0,222
"Whenever Bill smokes, Susan hates him much more.",0,223
"Whenever Bill smokes, Susan hates him far more.",0,224
"Whenever Bill smokes, Susan hates him a lot more.",0,225
"Once Janet left, Fred became all the crazier.",0,226
"Once Janet left, Fred became much crazier.",0,227
"Once Janet left, Fred became far crazier.",0,228
"Fred became all the crazier, the more often Janet left.",0,229
"When Bill smokes, all the more does Susan hate him.",0,230
So much did you eat that everyone gasped.,0,233
So fast did you run that everyone gasped.,0,234
So intelligent a dog did you buy that everyone gasped.,0,235
I know how much you ate.,0,236
I know how fast you ran.,0,237
I know how intelligent a dog you bought.,0,238
He ate so much that he got sick.,0,239
So much did he eat that he got sick.,0,240
"The more you eat, the more you want.",0,241
I wonder to how many people Bill talks.,0,245
"The longer he has to wait, the angrier John gets.",0,246
"If he has to wait, John gets angry.",0,247
"The more that pictures of him appear in the news, the more embarrassed John becomes.",0,250
"The more pictures of himself that appear in the news, the more embarrassed John becomes.",0,251
"The more that pictures of himself appear in the news, the more embarrassed John becomes.",0,252
"The more pictures of him appear in the news, the more likely John is to get arrested.",0,253
"The more that pictures of him appear in the news, the more likely John is to get arrested.",0,255
"The more that John gets upset by them, the more that stories about him seem to show up in the news.",0,257
"John is more embarrassed, the more pictures of him appear in the news.",0,259
"John is more embarrassed, the more pictures of him that appear in the news.",0,260
"John is more embarrassed, the more pictures of himself appear in the news.",0,261
"John is more embarrassed, the more pictures of himself that appear in the news.",0,262
"Stories about him seem to show up more on the evening news, the more that John gets upset by them.",0,263
"If you give him enough opportunity, every senator will succumb to corruption.",0,265
You give him enough opportunity and every senator will succumb to corruption.,0,266
"If you give any senator enough opportunity, he will succumb to corruption.",0,268
You give any senator enough opportunity and he will succumb to corruption.,0,269
"The more lobbyists he talks to, the more corrupt every senator seems to become.",0,273
"The more lobbyists wine and dine him, the more every senator is susceptible to corruption.",0,274
"Every senator becomes more corrupt, the more lobbyists he talks to.",0,276
"Any senator becomes more corrupt, the more lobbyists he talks to.",0,277
"Every senator seems to become more corrupt, if he talks to more lobbyists.",0,280
"Any senator seems to become more corrupt, if he talks to more lobbyists.",0,281
"Any senator seems to become more corrupt, as he talks to more lobbyists.",0,282
"The sooner you solve this problem, the more easily you'll satisfy the folks up at corporate headquarters.",0,287
This is the sort of problem which the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.,0,288
"The folks up at corporate headquarters are the sort of people who the sooner you solve this problem, the more easily you'll satisfy.",0,289
"This problem, the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.",0,290
Who did you give pictures of to friends of?,1,291
It is this problem that the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.,0,292
"The harder that it rains, how much faster a flow do you see in the river?",1,299
"They failed to tell me which problem the sooner I solve, the quicker the folks up at corporate headquarters.",0,300
This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve it.,0,304
John saw the man in the room.,0,309
Which room did John see the man in?,1,310
Who did John think that Bill claimed that Mary suspected that everybody liked?,1,311
John could not visit Sally.,0,312
What John could do is not visit Sally.,0,313
John couldn't visit Sally.,0,314
Why did John leave?,1,315
I hit the ball.,0,316
You hit the ball.,0,317
They hit the ball.,0,320
I am not going.,0,322
Aren't I going?,1,323
"Louise is unhappy, isn't she?",1,325
"Louise likes not being happy, doesn't she?",1,326
"Not many books survived the fire, did they?",1,327
"No books survived the fire, did they?",1,328
"He hasn't often paid taxes, has he?",1,329
"He can't pay taxes, can he?",1,330
She does not see him.,0,331
She kept not seeing him.,0,332
She could not have been working.,0,333
He could not have been working.,0,336
He cannot have been working.,0,337
He can simply not have been working.,0,338
You must not simply not work.,0,339
He may not just not have been working.,0,340
He can't have been working.,0,341
Can't he have been working?,1,342
Can he not have been working?,1,343
John wrote books.,0,345
John did not write books.,0,348
"`` I am so happy '', thought John.",0,350
down the hill rolled John.,0,351
John often kisses Mary.,0,353
Who do you think Mary said John likes?,1,354
Who do you think that Mary said that John likes?,1,356
How do you think that Mary solved the problem?,1,358
How did you think that Mary solved the problem?,1,362
Mary hired someone.,0,363
I heard that Mary hired someone.,0,364
I resigned because Mary hired someone.,0,365
Mary wondered which picture of himself Bill saw?,1,366
Which picture of himself does Mary think that John said that Susan likes?,1,367
"Mary thinks that John said that pictures of himself, Susan likes?",1,369
"If you don't believe me, you will the weatherman?",1,370
"I rolled up a newspaper, and Lynn did a magazine?",1,371
"Kathy likes astronomy, but she doesn't meteorology?",1,372
The DA proved Jones guilty and the Assistant DA will prove Smith.,0,373
"Mary will believe Susan, and you will Bob.",0,374
You might not believe me but you will Bob.,0,375
How did you solve the problem?,1,377
I wonder who could solve the problem in this way.,0,378
No candidate can predict how many people will vote for him.,0,380
Every politician is worried when the press starts attacking him.,0,381
Which politician appointed the journalist who supported him?,1,382
"John sells books, Mary buys records and Bill V newspapers.",0,384
The question of whether John met Mary worries the people who support.,0,385
They have left.,0,386
Have they left?,1,387
Could they have left?,1,388
He has often seen Mary.,0,389
He I often sees Mary.,0,390
It seems that it is likely that John will win.,0,393
It seems that John is likely to win.,0,394
John seems to be likely to win.,0,395
How intelligent do you consider John?,1,399
He has left.,0,403
His book is nice.,0,404
Bill saw him.,0,405
Bill works with him.,0,406
John believes him to be a nice guy.,0,407
John considers him a nice guy.,0,408
For him to do that would be a mistake.,0,409
"With him sick, the team is in trouble.",0,410
John believes that he is sick.,0,415
Who do you think that Bill likes?,1,419
Who do you think that Bill believes to be innocent?,1,420
Someone stole my car.,0,423
My car was stolen.,0,424
John has often kissed Mary.,0,426
The kids have all eaten the chocolate.,0,427
"In general, he understands what's going on.",0,428
It's probable that in general he understands what's going on.,0,429
I explained how to fix the sink.,0,432
I explained how we should fix the sink.,0,433
I explained that we should fix the sink.,0,434
Mickey looked up the reference.,0,436
Mickey looked the reference up.,0,437
Mickey looked up them.,0,438
Mickey teamed up with the women.,0,439
Mickey pointed out that Gary had left.,0,441
Mickey slips up all the time.,0,443
What does John think Mary bought?,1,445
John wonders what Mary bought.,0,447
Who bought what?,1,451
Who is reading a book that criticizes who?,1,452
Who remembers where we bought what?,1,453
There aren't many linguistics students here.,0,456
I haven't met many linguistics students.,0,457
What does every student buy?,1,458
I need Sally to be there.,0,459
The boat was sunk to collect the insurance.,0,461
John wants to win.,0,462
The bed was unmade.,0,463
John was unknown.,0,465
We knew John to be the murderer.,0,467
He fed the children.,0,468
The children were uneducated.,0,469
The children were undisciplined.,0,470
I believed these students all to like John.,0,471
They tried to all like John.,0,472
I believed these students to all like John.,0,473
Did you believe him ever to have made an effort to talk to the student?,1,475
Did he try to ever be attentive to the needs of students?,1,476
Did you believe him to ever have made an effort to talk to the student?,1,477
work out an analysis that is typical of this view of understood subjects.,0,478
They were believed all to be quite diligent.,0,479
Was he believed ever to fail students?,1,480
There is tending to be more and more discussion of these issues.,0,481
John seemed to be a great linguist.,0,482
There promises to be a storm tonight.,0,483
John strived to be successful.,0,484
John wanted to improve his lot in life.,0,485
John expected to win.,0,486
This book is too dense to be read in one sitting.,0,487
John tried.,0,489
John remembered.,0,490
John is refused.,0,491
John forgot.,0,492
They seemed all to like John.,0,497
John believes Sally to be polite.,0,498
I believe John with all my heart to be a fine person.,0,499
We would like John to win.,0,502
We would prefer John to be the candidate.,0,505
I would like for John to win.,0,506
I would hate for John to win.,0,507
I would prefer for John to be the candidate.,0,508
John destroyed the house.,0,509
The electrode emitted ions into the medium.,0,510
Ions struck the electrode.,0,511
The medium contains ions.,0,512
Ions left the electrode.,0,514
The electrode was struck by ions.,0,516
The ball lies in the box.,0,517
The ball rolled from the bush to the tree.,0,518
The box contains the ball.,0,519
The tree dropped fruit to the ground.,0,520
Fruit hit the ground from the tree.,0,521
The stone knocked against the pole into the road.,0,522
The stone knocked the pole into the road.,0,523
The box contained the ball.,0,524
The tree gradually dropped its fruit to the ground.,0,528
The tree dropped its fruit to the ground.,0,529
Fruit hit the roof.,0,530
Fruit hit the roof from the tree.,0,531
Fruit at once hit the roof from the tree.,0,532
Fruit dropped from the tree.,0,535
The tree changed into an oak.,0,539
The tree changed from a maple into an oak.,0,540
The maple changed into an oak from a cedar.,0,542
The maple changed into an oak.,0,543
The oak developed out of a maple.,0,544
The train reached the station.,0,545
The branches knocked against the wall.,0,546
The child became a man.,0,547
The party lasted till midnight.,0,548
The dog went crazy.,0,549
It struck John that it was so.,0,550
It came to John that it was so.,0,551
The snake saw into the nest.,0,552
Hard work resulted in high grades.,0,553
The farm passed to John.,0,554
John is touching the wall.,0,555
The wall is being touched by John.,0,556
A bear occupies the cave.,0,557
A bear inhabits the cave.,0,558
Water fills the tub.,0,559
The electric main joins the house circuit in the basement.,0,560
The house circuit is joined by the electric main in the basement.,0,561
The fence straddles the sidewalk.,0,562
The sidewalk is straddled by the fence.,0,563
The man with a book.,0,564
Gas escaped the tube.,0,565
The terrorist escaped the prison cell.,0,566
The prison cell was escaped by the terrorist.,0,567
The rolling stone avoided the river.,0,568
The river was avoided by the rolling stone.,0,569
The agents caught the terrorist.,0,570
The sponge soaked up the water.,0,571
The tub filled with water.,0,572
John received a book.,0,573
John learned a lesson.,0,574
The parcel reached John.,0,575
John received the parcel.,0,576
The farm finally got to John after much litigation.,0,577
Water filled the cup high.,0,579
Water filled the cup.,0,580
The cup filled with water.,0,584
the barge piled high with logs.,0,586
a stone blocked the road.,0,590
the branch dropped its apple free.,0,592
Some branches broke off of the tree.,0,593
The tree dropped some branches.,0,595
The tree lost some branches.,0,596
Water bubbled out of the kettle.,0,597
The kettle bubbled water.,0,599
The tub leaked empty of water.,0,602
Hail stones broke the window.,0,604
The force of the wind broke the window.,0,605
The window broke from the force of the wind.,0,607
What the force of the wind did to the window was break it.,0,608
John hit the stone against the wall.,0,609
John hit the wall with the stone.,0,610
John tapped some wine from a barrel.,0,611
John tapped a barrel of some wine.,0,612
John laid the book on the table.,0,613
John included his name in the list.,0,614
John loaded the bricks onto the truck.,0,615
John loaded the truck with bricks.,0,616
John fed rice to the baby.,0,617
John fed the baby rice.,0,618
John fed the baby up with rice.,0,619
The ball lies completely in the box.,0,621
The box completely contains the ball.,0,622
The train got to the station fully.,0,623
The train reached the station fully.,0,624
Press the stamp against the pad completely.,0,625
Press the pad with the stamp completely.,0,626
Spray the paint onto the wall completely.,0,627
Spray all the paint onto the wall completely.,0,628
Spray the whole wall with the paint.,0,630
What John did to the wall was paint it.,0,631
What John did to the whole wall was paint it.,0,632
What John did to the wall was hit it.,0,633
John took Bill to be a fool.,0,636
Give the bottle to the baby full.,0,638
Give the baby the bottle full.,0,640
Rub the cloth on the baby torn.,0,642
Rub the baby with the cloth torn.,0,644
Dry the baby with the cloth asleep.,0,646
The stone knocked the cup apart.,0,649
The cup smashed apart against the stone.,0,650
The stone smashed the cup apart.,0,651
The tank filled with petrol out of the pump.,0,652
The cup emptied of water onto the ground.,0,653
John included her name in the list.,0,654
John rolled the ball from the tree to the bush.,0,655
John tapped the bottle of some water.,0,656
John gave Bill the book.,0,657
John got the book from Bill.,0,658
We have someone in the living room.,0,660
John is very fond of Mary.,0,661
Mary laughed at John.,0,662
The ship sank beneath the waves.,0,663
Mary considers John a fool and Bill a wimp.,0,664
John regards professors as strange and politicians as creepy.,0,665
Sue put the books on the table and the records on the chair.,0,666
Harriet gave a mug to John and a scarf to Vivien.,0,667
I expect John to win and Harry to lose.,0,668
You eat the fish raw and the beef cooked.,0,669
They told Sue who to talk to and Virginia when to leave.,0,670
"Smith loaned, and his widow later donated, a valuable collection of manuscripts to the library.",0,671
"Sue moved, and Mary also transferred, her business to a different location.",0,672
"I succeeded in convincing, even though John had failed to persuade, Mary not to leave.",0,673
"We didn't particularly like, but nevertheless ate, the fish raw.",0,674
"Flo desperately wants, though she doesn't really expect, the Miami Dolphins to be in the play-offs.",0,675
John learned French perfectly.,0,676
Bill recited his lines poorly.,0,677
Mary plays the violin beautifully.,0,678
John learned French immediately.,0,681
Bill recited his lines slowly.,0,682
Mary will play the violin soon.,0,683
John immediately learned French.,0,684
Bill slowly recited his lines.,0,685
Mary will soon play the violin.,0,686
John immediately learned French perfectly.,0,687
John learned French perfectly almost immediately.,0,688
John learned French perfectly immediately.,0,689
John rolled the ball perfectly down the hill.,0,696
John rolled the ball down the hill perfectly.,0,697
John shot the ball perfectly.,0,699
John spoke intimately to Mary.,0,701
John spoke to Mary intimately.,0,702
John spoke French intimately to Mary.,0,703
John spoke French to Mary intimately.,0,704
Mary jumped the horse perfectly over the last fence.,0,705
Mary jumped the horse over the last fence perfectly.,0,706
We consider the men all fools.,0,712
We consider the men all totally crazy.,0,713
The teacher ordered the two boys both to pay close attention.,0,717
They returned the books all to their owners.,0,718
We painted the chairs all red.,0,719
The trainer fed the steaks all to the lions.,0,720
Mary left the room angry.,0,723
John resembles Bill.,0,726
The package weighed 10 lb.,0,728
This book cost $10.,0,730
The book cost John $10.,0,732
We proclaimed John to the public to be a hero.,0,746
We proclaimed John sincerely to be a hero.,0,748
We proclaimed John sincerely to the public to be a hero.,0,750
They represented Mary to the dean as a genuine linguist.,0,752
They represented Mary seriously as a genuine linguist.,0,754
They represented Mary seriously to the dean as a genuine linguist.,0,755
We proved Smith conclusively to be the thief.,0,758
We proved Smith conclusively to the authorities to be the thief.,0,760
The gardener watered the tulips flat.,0,761
The grocer ground the coffee beans to a fine powder.,0,762
They painted their house a hideous shade of green.,0,763
The joggers ran their Nikes threadbare.,0,764
The kids laughed themselves into a frenzy.,0,765
He coughed his handkerchief completely soggy.,0,766
They fed the meat to the lions raw.,0,767
We love them.,0,769
Our love they.,0,773
Our love them.,0,774
Our love their.,0,775
his belief that Mary kissed Bill is mistaken.,0,778
Mary loves him.,0,779
Mary is fond of him.,0,780
Mary criticized him.,0,782
Mary's criticism of him was cruel.,0,784
That John loves Mary is doubtful.,0,785
For John to love Mary would be doubtful.,0,787
To go abroad would be nice.,0,788
John's plan to go abroad is nice.,0,789
Mary believed John to have loved her.,0,790
Mary considered John to have loved her.,0,791
Mary reported John to have loved her.,0,792
Mary tried to go abroad.,0,794
Mary intended to go abroad.,0,795
Mary managed to go abroad.,0,796
Mary desired to go abroad.,0,797
Mary believed him to have loved her.,0,801
Mary considered him to have loved her.,0,802
It is certain that John has loved Mary.,0,809
It is likely that John has loved Mary.,0,810
There are strangers in that garden.,0,811
There are arriving three men at that station.,0,814
I consider there to be a man in that garden.,0,815
They alleged there to have been many strangers in that garden.,0,817
John wagered there to have been a stranger in that haunted house.,0,819
John tried to kiss Mary.,0,821
John persuaded Mary to kiss him.,0,822
John told Mary to kiss him.,0,823
It is illegal to park here.,0,824
I remembered him having kissed Mary.,0,825
I reported him having kissed Mary.,0,826
I reported having kissed Mary.,0,827
I enjoy taking a bath.,0,828
I detest taking a bath.,0,829
I saw him kissing Mary.,0,832
I noticed him kissing Mary.,0,833
John's refusing the offer is shocking.,0,836
the enemy's destroying the city was horrific.,0,837
John's refusal of the offer was shocking.,0,838
the enemy's destruction of the city was horrific.,0,839
"I often send Mary home drunk, and she gets there just fine.",0,841
"I don't think Fred will, either.",0,844
"José likes cabbage, and Holly does too.",0,845
"José ate cabbage, and Holly has too.",0,846
"José is eating cabbage, and Holly is too.",0,847
John is leaving but Mary's not.,0,848
I consider Bill intelligent and I consider Sally not.,0,849
"John wants to go on vacation, but he doesn't know when to.",0,853
"Sally might have eaten cabbage, but Holly shouldn't.",0,860
"José asks that we go to the meeting, and Sally will tell us when.",0,861
It's to Mary that Joe said Holly can talk.,0,863
"Mary claimed that eaten cabbage, Holly hasn't.",0,864
"Mary claimed that eating cabbage, Holly's not.",0,865
"Mary claimed that eat cabbage, Holly wants to.",0,866
"John didn't hit a home run, but I know a woman who did.",0,877
"That Betsy won the batting crown is not surprising, but that Peter didn't know she did is surprising.",0,878
"Lilly decided that eating cabbage, she should be.",0,882
"Read Fred's story, I also want to.",0,884
Mag Wildwood came to introduce the bartender but I came not to.,0,888
Mag Wildwood came to introduce the bartender but I came precisely not to.,0,889
You should unload rifles because not to s is dangerous.,0,890
"If Ron knows whether to wear a tuxedo, and Caspar knows whether not to, do they know different things?",1,891
Lucy recounted a story to remember because Holly had recounted as story not to.,0,892
Did Harry leave?,1,894
Does Joe sing?,1,895
Every man who said he would buy some salmon did.,0,899
I visited every town I had to.,0,900
Every town in every country I had to I visited.,0,901
Every man who said he would buy some salmon did buy some salmon.,0,902
Lilly should buy salmon and Mary should too.,0,903
Lilly should buy salmon and Mary should buy salmon too.,0,904
"Joe's neuroses bother his patrons, and Sally's neuroses do too.",0,905
"Joe likes his bar, and Sally's patrons do too.",0,906
Every picture of itself arrived.,0,907
My uncle doesn't have a spouse but your aunt does and he is lying on the floor.,0,908
"I know which book Max read, and which book Oscar didn't.",0,910
"This is the book of which Bill approves, and this is the one of which he doesn't.",0,911
Dulles suspected everyone who Angleton did.,0,914
"While Bob read Fred, he didn't Dickens.",0,915
"Sally suspected Joe, but he didn't Holly.",0,916
Sally will stand near every woman that you will.,0,922
"I know which woman Holly will discuss a report about, but I don't know which woman you will.",0,923
"While Truman didn't visit me, he did you.",0,927
"While Truman didn't tell me a story, he did Rusty.",0,928
"While José won't talk about Mag, he might about Holly.",0,929
"Although Doc might tell it to you, he won't to me.",0,930
I think you need to show yourself more than you do anyone else.,0,931
"While Truman doesn't want to visit every city, he does Barcelona.",0,932
"Fred likes eggplants, although he likes cabbage too.",0,936
"Although he likes cabbage too, Fred likes eggplants.",0,937
Fred gave flowers to his sweetie because Frank had.,0,938
"China is a country that Joe wants to visit, and he will too, if he gets enough money.",0,939
"Jerry wouldn't read a book by Babel, but Meryl has done so and it was pretty good.",0,940
"Joe might wish he had, but this isn't a country he has visited.",0,942
"While I might want to, this is the kind of thing that Harris has already suggested.",0,943
We like our friends and they do too.,0,944
We like our friends and they like our friends too.,0,945
"We like our friends and they like their friends, too.",0,946
Rusty talked about himself only after Holly did.,0,947
"I could find no solution, but Holly might.",0,949
Fred talked about everything before Rusty did.,0,950
"Joe will go to the store, even though Fred already has.",0,951
"Today there is little or no official harassment of lesbians and gays by the national government, although autonomous governments might.",0,952
"The candidate was dogged by charges of infidelity and avoiding the draft, or at least trying to.",0,953
"This information could have been released by Gorbachev, but he chose not to.",0,956
"A lot of this material can be presented in a fairly informal and accessible fashion, and often I do.",0,957
John does not like Mary.,0,959
John tries to often meet Mary.,0,961
John tries not to meet Mary.,0,963
Is Mary running the marathon?,1,965
Mary is often running the marathon.,0,967
Mary is not running the marathon.,0,969
"I didn't, as Bill had thought, go to the store.",0,970
"I did, as Bill had thought, go to the store.",0,971
The writers could so believe the boy.,0,973
The writers did so believe the boy.,0,975
Rome destroyed Carthage.,0,977
Rome's destruction of Carthage was horrific.,0,978
John bought the picture of himself that Bill saw.,0,979
The perception of the problem is quite thorough.,0,980
The knowledge of the problem is quite thorough.,0,981
The sinking of the ship was very devious.,0,986
The sinking of the ship to collect the insurance was very devious.,0,987
The ship's sinking was very devious.,0,988
The testing of such drugs on oneself is too risky.,0,990
The ship was sunk to collect the insurance.,0,992
This drug must first be tested on oneself.,0,993
The president's moral destruction is complete.,0,994
The moral destruction of the president was certainly not helpful.,0,995
Mary wants to wear nice blue German dress.,0,996
Tomatoes were introduced in Europe after 1492.,0,997
We rich have impeccable taste.,0,998
I read his every book.,0,1002
Every boy named a planet.,0,1003
I showed every boy a planet.,0,1004
Few boys read any of the books.,0,1005
I showed few boys any of the books.,0,1006
I was not reading a book when you came in.,0,1008
A boy did not laugh.,0,1009
Most boys did not laugh.,0,1010
Every boy named Mercury and Venus.,0,1011
Every boy named every planet.,0,1012
Each student speaks two languages.,0,1013
Two students speak each language.,0,1014
Some tourists visited all the museums.,0,1015
Fond of some boy every girl is.,0,1016
A critic thinks that every book is readable.,0,1018
Who does he admire?,1,1019
He admires every man.,0,1020
Who admires what?,1,1022
Someone from every city hates it.,0,1023
Some professor admires every student.,0,1024
Some professor admires every student and hates the dean.,0,1025
Everyone reported that Max and some lady disappeared.,0,1027
Most guests will be offended if we don't invite some philosopher.,0,1028
All students believe anything that many teachers say.,0,1029
Who will be offended if we don't invite which philosopher?,1,1030
Who believes anything that who says?,1,1031
Exactly two boys kissed some girl.,0,1032
Mary dates exactly two of the men who know a producer I like.,0,1033
Every student has to come up with three arguments that show that some condition proposed by Bill is wrong.,0,1034
"If we invite some philosopher, Max will be offended.",0,1035
Three relatives of mine inherited a house.,0,1036
"If three relatives of mine die, I will inherit a house.",0,1037
Everyone attended some seminar.,0,1038
Exactly half of the students attended some seminar.,0,1039
More than three students attended every seminar.,0,1040
Every student attended more than three seminars.,0,1041
Every man lifted the table.,0,1043
The men surrounded the fort.,0,1045
All the men surrounded the fort.,0,1046
The men lifted the table together.,0,1047
A hundred men lifted the table together.,0,1048
All the men lifted the table together.,0,1049
Every man lifted a table.,0,1050
Each man lifted a table.,0,1051
Someone attended every seminar.,0,1052
More than two students attended every seminar.,0,1053
You married no one.,0,1054
I will force you to marry no one.,0,1055
Everyone had been worrying himself stiff.,0,1057
Everyone who had been worrying himself stiff said that he was relieved.,0,1058
There were five tourists in the room apart from myself.,0,1059
Physicists like yourself are a godsend.,0,1060
Max boasted that the queen invited Lucie and himself for a drink.,0,1061
Which pictures of him did Earl see?,1,1062
Which pictures of Earl did he see?,1,1063
Bill seems to himself to be handsome.,0,1064
Bill seems to him to be handsome.,0,1065
John will see which picture of himself?,1,1066
Each other's houses seem to the women to be garish.,0,1067
Each other's houses appear to the women to be garish.,0,1068
These stories about himself worry John more than anything else.,0,1071
Which picture that John took at the party did he decide to display in his house?,1,1073
Which report that John revised did he submit?,1,1074
